Hasil PISA 2015 Brazil dan Italia,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NEGARA,KLMN,UMUR,PLING,PIBU,PBPK,PORTU,LUARJAM,MMAT,MBHS,MSNS,MOTIF,KOLAB,NILAIKOL,EMO,SOSEKO,MAT,BACA,SAINS
BRA,2,"15,42","1,2318",5,6,6,32,360,405,630,"1,8543","0,9455","0,891","-0,2495","0,5329","454,113","483,235","522,263"
BRA,2,"16,25","1,2318",6,4,6,20,150,150,200,"1,3961","-1,198","0,0333","-0,889","0,3731","472,121","463,581","437,991"
BRA,1,"16,17","1,2318",4,4,4,29,200,200,250,"0,8101","-0,2882","0,3895","-0,3306","-0,4725","577,142",618.2NA,"558,802"
BRA,1,"16,17","1,2283",6,0,6,36,200,250,500,"1,3961","-0,2882","0,0333","0,5658","0,5506","538,645","573,954","588,2"
BRA,1,"16,08","1,2283",3,4,4,7,180,180,270,"0,075","1,0425","1,0765","0,3838","0,275","488,515","511,203","531,684"
BRA,1,"16,33","1,2283",4,1,4,11,120,160,80,"1,3961","-0,2882","0,1309","1,0991","-1,2294","428,528","562,818","488,992"
BRA,1,"16,17","1,2283",2,4,4,43,200,250,100,"-0,0383","0,395","1,4758","1,0991","-1,4852","317,449","398,831","381,422"
BRA,1,"15,67","1,2283",2,4,4,49,120,150,150,"-0,1651","0,395","0,5587","1,0991","-1,7131","454,548","547,471","616,062"
BRA,1,"15,42","1,2169",2,2,2,4,240,600,240,"0,441","-0,7342","0,0333","-0,4263","-1,8529","275,413","424,31","314,834"
BRA,1,"16,33","1,1518",6,5,6,14,225,135,180,"1,8543","0,9455","0,8245","0,3838","1,6684","521,574","594,861","589,818"
BRA,2,"15,92","1,1518",6,1,6,7,180,90,135,"-0,1519","-0,2882","-0,3","-0,889","0,5445","461,253","452,327","508,547"
BRA,1,"15,67","1,1321",4,4,4,12,180,180,180,"-0,9828","2,2879","2,1017","-3,0789","-0,5682","343,28","344,46","398,48"
BRA,2,"16,17","1,1285",4,4,4,41,150,150,100,"0,8101","-0,2882","0,748","1,0991","-0,7328","457,561","431,095","385,863"
BRA,2,"16,33","1,1112",4,2,4,15,160,160,120,"0,705","-0,2882","0,0383","-0,2495","-1,2118",438.NA6,"452,448","424,068"
BRA,2,"15,75","1,0712",6,4,6,30,180,225,405,"0,5387","0,1885","-0,6806","-0,4263","1,2043","469,836","582,029","565,44"
BRA,1,"16,25","1,0611",4,4,4,20,160,120,200,"0,8101","2,2879","1,4758","1,0991","-1,5455","380,479","449,034","450,071"
BRA,1,"16,17","1,0572",6,6,6,5,225,270,270,"0,6611","-0,2882","-0,3735","-1,3869","1,163","480,108","445,785","528,356"
BRA,2,"15,67","1,0568",6,6,6,15,300,150,450,"-0,0958","0,5759","2,1017","1,0991","1,4437","546,505",657.4NA,"604,32"
BRA,1,"16,08","1,039",6,4,6,28,270,90,675,"-0,4599","0,5759","1,0765","1,0991","0,4814","544,672","558,642","568,618"
BRA,1,"15,42","1,0361",6,6,6,8,180,270,180,"0,005","-0,2882","0,5587","-0,889","1,5209","503,863","550,508","522,792"
BRA,2,"15,5","1,0361",4,0,4,10,200,200,300,"0,3377","1,5899","0,5587","1,0991","-0,1371","510,885","530,568","551,625"
BRA,1,"15,67","1,0361",4,4,4,17,270,270,135,"-1,0771","2,2879","1,4758","0,0264",-0.3NA,"322,237","526,746","453,187"
BRA,2,"16,08","1,0361",4,2,4,7,250,200,250,"0,5952","-0,8088","-0,8356","-0,889","-0,6884","437,188","468,293","422,428"
BRA,1,"15,67","1,0361",2,1,2,0,180,180,180,"1,3961","0,5759","2,1017","0,3838",-1.16NA,"311,693","537,936","408,268"
BRA,1,"15,75","1,0361",4,1,4,10,100,100,100,"1,8543","2,2879",-0.NA53,"0,3838","-1,1939","448,463","493,869","491,306"
BRA,1,"16,25","1,0361",4,2,4,5,200,250,250,"0,6611","-0,2882","0,0333","-1,3869","-1,6839","374,572","430,931",352.NA6
